"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2013-2014",41,2001.36,1717,1786,-69,49.02,51.47,53.54,101,75,26,57.39,3.03,2.25,74.35,72.72,1.63,50.55,2.23,2.18,140,135,-5,10.58,91.54,102.12
"ARI","2013-2014",41,2011.07,1766,1845,-79,48.91,52.69,55.05,67,80,-13,45.58,2,2.39,65.85,87.89,-22.04,42.83,1.96,2.62,150,138,-12,7.05,92.29,99.35
"BOS","2013-2014",41,2057.23,1977,1789,188,52.5,57.66,52.18,87,72,15,54.72,2.54,2.1,74.72,73.32,1.4,50.47,2.18,2.14,135,135,0,8.35,92.73,101.08
"BUF","2013-2014",41,1985.67,1547,2169,-622,41.63,46.74,65.54,41,87,-46,32.03,1.24,2.63,60.5,98.61,-38.11,38.02,1.83,2.98,144,135,-9,4.87,92.64,97.51
"CAR","2013-2014",41,2042.47,1883,1934,-51,49.33,55.32,56.81,72,83,-11,46.45,2.12,2.44,72.51,80.71,-8.2,47.32,2.13,2.37,127,124,-3,6.94,92.33,99.27
"CBJ","2013-2014",41,2009.74,1761,1886,-125,48.29,52.57,56.31,70,74,-4,48.61,2.09,2.21,71.16,75.17,-4.01,48.63,2.12,2.24,145,137,-8,7.37,92.81,100.18
"CGY","2013-2014",41,2045.86,1756,2018,-262,46.53,51.5,59.18,72,79,-7,47.68,2.11,2.32,67.37,78.84,-11.47,46.08,1.98,2.31,149,138,-11,8.04,91.91,99.95
"CHI","2013-2014",41,2048.88,1974,1727,247,53.34,57.81,50.57,87,91,-4,48.88,2.55,2.66,76.71,75.04,1.67,50.55,2.25,2.2,128,99,-29,8.29,90.25,98.54
"COL","2013-2014",41,2053.9,1682,2098,-416,44.5,49.14,61.29,82,81,1,50.31,2.4,2.37,69.06,90.8,-21.74,43.2,2.02,2.65,133,131,-2,9.06,92.61,101.67
"DAL","2013-2014",41,2024.9,1806,1890,-84,48.86,53.51,56,77,89,-12,46.39,2.28,2.64,73.56,79.72,-6.16,47.99,2.18,2.36,135,129,-6,7.72,91.43,99.15
